INFO:root:FileData(name='All Users', extension='', is_directory=True, parent_directory='C:/Users/')
INFO:root:FileData(name='trial-cannot-connect', extension='.htm', is_directory=False, parent_directory='C:/Users/All Users\\ACD Systems\\ACDSee Pro\\5.0\\ACDInTouch\\RU\\StaticPages')
INFO:root:FileData(name='color', extension='', is_directory=True, parent_directory='C:/Users/All Users\\ACD Systems')
INFO:root:FileData(name='AdobeRGB1998', extension='.icc', is_directory=False, parent_directory='C:/Users/All Users\\ACD Systems\\color')
INFO:root:FileData(name='ColorMatchRGB', extension='.icc', is_directory=False, parent_directory='C:/Users/All Users\\ACD Systems\\color')
INFO:root:FileData(name='ProPhoto', extension='.icm', is_directory=False, parent_directory='C:/Users/All Users\\ACD Systems\\color')
INFO:root:FileData(name='Adobe', extension='', is_directory=True, parent_directory='C:/Users/All Users')
INFO:root:FileData(name='ARM', extension='', is_directory=True, parent_directory='C:/Users/All Users\\Adobe')
INFO:root:FileData(name='Acrobat_22.003.20263', extension='', is_directory=True, parent_directory='C:/Users/All Users\\Adobe\\ARM')
INFO:root:FileData(name='Acrobat_22.003.20282', extension='', is_directory=True, parent_directory='C:/Users/All Users\\Adobe\\ARM')
INFO:root:FileData(name='Acrobat_22.003.20310', extension='', is_directory=True, parent_directory='C:/Users/All Users\\Adobe\\ARM')
INFO:root:FileData(name='Acrobat_22.003.20314', extension='', is_directory=True, parent_directory='C:/Users/All Users\\Adobe\\ARM')
INFO:root:FileData(name='Acrobat_22.003.20322', extension='', is_directory=True, parent_directory='C:/Users/All Users\\Adobe\\ARM')
INFO:root:FileData(name='Acrobat_23.001.20093', extension='', is_directory=True, parent_directory='C:/Users/All Users\\Adobe\\ARM')
INFO:root:FileData(name='Acrobat_23.001.20143', extension='', is_directory=True, parent_directory='C:/Users/All Users\\Adobe\\ARM')
INFO:root:FileData(name='Acrobat_23.001.20174', extension='', is_directory=True, parent_directory='C:/Users/All Users\\Adobe\\ARM')
INFO:root:FileData(name='Acrobat_23.003.20215', extension='', is_directory=True, parent_directory='C:/Users/All Users\\Adobe\\ARM')
INFO:root:FileData(name='Acrobat_23.003.20244', extension='', is_directory=True, parent_directory='C:/Users/All Users\\Adobe\\ARM')
INFO:root:FileData(name='Acrobat_23.003.20269', extension='', is_directory=True, parent_directory='C:/Users/All Users\\Adobe\\ARM')
